day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,WLV,DWLV,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2010-01-30,0.9789716599190286,7.772479009822518,6438.0431168217665,0.0,3689.457171834529,2748.5859449872373,3597.0047888850004,0.49411447461674457,100.0,0.3129386,,2878.6959295638976,810.7612422706317,25.687243,32.639637,-99.0,17530000.0,11.25,32.16,13.346886720571101,0.0,0.5262548648261733,0.4761188785623899,0.5095379190806197,2.73,0.0,2009,wheat,UpperEgypt
2010-01-31,0.9965465587044536,7.722943745622239,6598.82668170441,0.0,3710.6070455454683,2888.219636158941,3600.1649648944913,0.3699443387699783,100.0,0.3129386,,2860.3495354156457,850.2575101298223,25.687243,32.639637,-99.0,17640000.0,16.33,30.93,18.56968749840423,0.0,0.4317037051725275,0.3797438654736867,0.3817605069857823,1.75,0.0,2009,wheat,UpperEgypt
2010-02-01,1.0,7.661914888045574,6749.466069700864,0.0,3726.4513207699783,3023.014748930885,3600.6433515610443,0.40756054390886237,100.0,0.3129386,,2837.7462548316967,888.7050659382815,25.687243,32.639637,-99.0,18120000.0,12.34,28.64,14.343198841196909,0.0,0.47498158782402794,0.4241836926826569,0.42095255624227323,2.55,0.0,2009,wheat,UpperEgypt
2010-02-02,1.019701923076923,7.608022540230964,6921.560483208557,0.0,3743.6607621207477,3177.899721087809,3600.6433515610443,0.4070647621185877,100.0,0.3129386,,2817.78612601147,925.8746361092774,25.687243,32.639637,-99.0,18710000.0,8.26,25.88,10.9191408370407,0.0,0.4655390325594754,0.41626583107759185,0.4207798939512914,2.87,0.0,2009,wheat,UpperEgypt
2010-02-03,1.0361153846153845,7.510676927216667,7122.5848410333565,171.16620761414134,3743.660762120747,3207.757871298468,3600.6433515610443,0.3698501206063918,100.0,0.3129386,,2781.732195265434,961.9285668553134,25.687243,32.639637,-99.0,18320000.0,8.45,21.93,11.06094398383799,0.0,0.42851767594382195,0.3820997921238466,0.382889066088614,4.27,0.0,2009,wheat,UpperEgypt
2010-02-04,1.0507211538461538,7.418689478067403,7333.626230747874,351.38645357786845,3743.660762120747,3238.579015049258,3600.6433515610443,0.3223725071378532,100.0,0.3129386,,2747.662769654595,995.9979924661521,25.687243,32.639637,-99.0,18950000.0,5.48,18.42,9.019741561485732,0.0,0.37442738644147494,0.3298565063388077,0.33423564585156385,4.19,0.0,2009,wheat,UpperEgypt
2010-02-05,1.0622115384615385,7.331667298566992,7558.020494928683,543.5060619730566,3743.660762120747,3270.8536708348793,3600.6433515610443,0.3195451608507876,100.0,0.3129386,,2715.432332802591,1028.228429318156,25.687243,32.639637,-99.0,18870000.0,4.41,18.27,8.370307417973535,0.0,0.37821141246824325,0.3344977754235483,0.3317918742009939,3.77,0.0,2009,wheat,UpperEgypt
2010-02-06,1.0731153846153847,7.249254749779071,7785.697274685669,738.8324391518098,3743.6607621207477,3303.204073413112,3600.6433515610443,0.30044150021552934,100.0,0.3129386,,2684.9091665848428,1058.7515955359047,25.687243,32.639637,-99.0,18920000.0,3.86,18.33,8.052821355212094,0.0,0.3528032934507485,0.3092451916391191,0.3124084271465781,2.84,0.0,2009,wheat,UpperEgypt
2010-02-07,1.0837836538461538,7.171129111119475,8015.239410487991,936.1383515817529,3743.6607621207477,3335.4402967854903,3600.6433515610443,0.28184106467957903,100.0,0.3129386,,2655.9737448590663,1087.6870172616811,25.687243,32.639637,-99.0,19410000.0,3.21,20.71,7.691346243813692,0.0,0.3247978130289328,0.2791337785004581,0.2934853996410244,1.45,0.0,2009,wheat,UpperEgypt
2010-02-08,1.095283653846154,7.096996837856118,8242.419938677882,1131.781529248092,3743.6607621207477,3366.9776473090424,3600.6433515610443,0.3299330286603687,100.0,0.3129386,,2628.517347354119,1115.1434147666284,25.687243,32.639637,-99.0,19330000.0,8.12,24.24,10.8156806316304,0.0,0.3907953210216547,0.34079200274053095,0.34404647777994163,1.8,0.0,2009,wheat,UpperEgypt
