day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2014-12-05,0.0,0.08301595558321037,60.24379940726443,0.0,39.15846961472188,21.085329792542552,60.243799407264426,0.01105334917471388,26.79999999999999,0.3129386,,31.0,31.0,-99.0,11640000.0,15.6,26.79,15.344089581884251,0.0,0.2936035852066956,0.26058674316158614,0.30144394157011956,2.36,0.0,2014,wheat,NileDelta
2014-12-06,0.0,0.08909292787445486,64.65379381310223,0.0,42.02496597851645,22.628827834585778,64.65379381310221,0.011167131543283446,27.99999999999999,0.3129386,,31.0,31.0,-99.0,11580000.0,15.91,25.34,16.61922380793398,0.0,0.2901461852899929,0.2576086683893537,0.28415979358677584,2.89,0.0,2014,wheat,NileDelta
2014-12-07,0.0,0.09561435014133557,69.38632085728271,0.0,45.101108557233765,24.28521230004895,69.3863208572827,0.010308712853028944,29.19999999999999,0.3129386,,31.0,31.0,-99.0,10660000.0,15.22,24.0,16.24725182717425,0.0,0.2657711382375875,0.23633694892513923,0.24478140787089867,2.6,0.0,2014,wheat,NileDelta
2014-12-08,0.0,0.10229583130921907,74.23500095008642,0.0,48.25275061755617,25.982250332530246,74.2350009500864,0.007565445970948613,30.399999999999988,0.3129386,,31.0,31.0,-99.0,7570000.0,15.08,21.75,16.12141073575376,0.0,0.2289290613340389,0.20847360632311185,0.1681596154024953,1.72,0.0,2014,wheat,NileDelta
2014-12-09,0.0,0.1076476994185446,78.11879493363178,0.0,50.777216706860656,27.341578226771123,78.11879493363178,0.018120927382890246,31.599999999999987,0.3129386,,31.0,31.0,-99.0,11290000.0,13.08,21.98,11.15889859065546,0.0,0.371156218943652,0.34115570286371766,0.3832124603862882,4.73,0.0,2014,wheat,NileDelta
2014-12-10,0.0,0.1155567062819216,83.85827741794022,0.0,54.50788032166114,29.35039709627907,83.8582774179402,0.015252695438966212,32.79999999999999,0.3129386,,31.0,31.0,-99.0,11590000.0,10.73,22.64,10.453188794524419,0.0,0.2745475045531527,0.24425769027504524,0.3010105856232511,2.73,0.0,2014,wheat,NileDelta
2014-12-11,0.0,0.12420146005855395,90.13168364191145,0.0,58.58559436724244,31.546089274669,90.13168364191142,0.0188771738108517,33.99999999999999,0.3129386,,31.0,31.0,-99.0,10360000.0,14.27,24.9,11.81839653038969,0.0,0.32880563950094305,0.30021239214402295,0.3472783717354936,2.94,0.0,2014,wheat,NileDelta
2014-12-12,0.0,0.13262190795144968,96.24231346259049,0.0,62.55750375068382,33.68480971190667,96.24231346259047,0.02575995300013664,35.199999999999996,0.3129386,,31.0,31.0,-99.0,11280000.0,13.05,20.48,8.464716248601599,0.028000000000000004,0.422882245070039,0.39335536259369186,0.4446437054674006,5.03,0.0,2014,wheat,NileDelta
2014-12-13,0.0,0.1423144138307272,103.27606228644936,0.0,67.1294404861921,36.14662180025727,103.27606228644935,0.01668750985284383,36.4,0.3129386,,31.0,31.0,-99.0,9660000.0,11.0,20.49,12.24675047710981,0.002,0.2885144743347515,0.26374969976504353,0.2690062385388549,4.19,0.0,2014,wheat,NileDelta
2014-12-14,0.0,0.1517213827932265,110.10259999508455,0.0,71.56668999680495,38.535909998279585,110.10259999508453,0.019452256841223637,37.6,0.3129386,,31.0,31.0,-99.0,8860000.0,15.36,21.24,13.70520555231493,0.002,0.3275683003386172,0.30367823394575416,0.29474876024343644,4.12,0.0,2014,wheat,NileDelta
2014-12-15,0.0,0.1608371736436256,116.71783283281972,0.0,75.86659134133282,40.8512414914869,116.71783283281972,0.016994515704163368,38.800000000000004,0.3129386,,31.0,31.0,-99.0,10630000.0,14.27,21.59,13.61484264779683,0.0,0.25831928577563545,0.22985545657184595,0.2434061042878041,2.61,0.0,2014,wheat,NileDelta
2014-12-16,0.0,0.17193632684373653,124.77237071388717,0.0,81.10204096402667,43.67032974986051,124.77237071388717,0.018726143635578667,40.00000000000001,0.3129386,,31.0,31.0,-99.0,10020000.0,13.49,21.91,13.109699920303319,0.0,0.2663027912311072,0.2395897718687304,0.2515132364870637,2.69,0.0,2014,wheat,NileDelta
2014-12-17,0.0,0.1833041191445868,133.02185714411232,0.0,86.46420714367301,46.55765000043931,133.02185714411232,0.018966375138337214,41.20000000000001,0.3129386,,31.0,31.0,-99.0,7020000.0,13.89,21.28,11.318746029993461,0.0,0.28001043764031397,0.26133664054652744,0.2395456417673346,2.1,0.0,2014,wheat,NileDelta
2014-12-18,0.0,0.1920742830127607,139.3862721427871,0.0,90.60107689281163,48.78519524997549,139.3862721427871,0.02007797405171941,42.40000000000001,0.3129386,,31.0,31.0,-99.0,5420000.0,13.62,20.29,10.618584386784068,0.003,0.2463562388688319,0.2321149477371685,0.24247767287724747,2.26,0.0,2014,wheat,NileDelta
2014-12-19,0.0,0.19911155512736767,144.49314595599972,0.0,93.92054487139983,50.572601084599896,144.49314595599972,0.016991107512399732,43.600000000000016,0.3129386,,31.0,31.0,-99.0,4870000.0,14.64,20.6,13.6780415215006,0.003,0.2010772403421449,0.18811389481312019,0.19825487746798087,2.33,0.0,2014,wheat,NileDelta
2014-12-20,0.0,0.20559419734101486,149.1975307264258,0.0,96.97839497217679,52.21913575424903,149.1975307264258,0.02101944640049658,44.80000000000002,0.3129386,,31.0,31.0,-99.0,9740000.0,13.9,20.5,12.164899562512801,0.01,0.25917165241570994,0.23345552523305968,0.23786630419190322,2.38,0.0,2014,wheat,NileDelta
2014-12-21,0.0,0.21879636972878075,158.77820735034885,0.0,103.20583477772675,55.572372572622086,158.77820735034882,0.02481090417976926,46.00000000000002,0.3129386,,31.0,31.0,-99.0,9870000.0,12.98,20.93,11.70747059037339,0.006,0.27629048398504646,0.25035661987627944,0.2646028532278519,2.82,0.0,2014,wheat,NileDelta
2014-12-22,0.0,0.23293883023879125,169.04124110217074,0.0,109.876806716411,59.16443438575974,169.0412411021707,0.029251368652792837,47.200000000000024,0.3129386,,31.0,31.0,-99.0,6530000.0,12.84,21.28,12.38700884542129,0.009,0.3168140316121384,0.29962052122997723,0.2939374257665313,4.17,0.0,2014,wheat,NileDelta
2014-12-23,0.0,0.24316882451725658,176.4650395625955,0.0,114.7022757156871,61.76276384690842,176.46503956259548,0.026159374575393118,48.40000000000003,0.3129386,,31.0,31.0,-99.0,8660000.0,12.29,19.87,10.58243414715699,0.001,0.27786734382659917,0.2555114178406537,0.2523782003412135,2.59,0.0,2014,wheat,NileDelta
2014-12-24,0.0,0.2573351813338833,186.7454146109458,0.0,121.38451949711478,65.36089511383102,186.74541461094577,0.020558593601074097,49.60000000000003,0.3129386,,31.0,31.0,-99.0,11180000.0,12.95,20.88,11.023471119888079,0.0,0.20550497974342422,0.17615232209897316,0.1880117200071831,1.15,0.0,2014,wheat,NileDelta
2014-12-25,0.0,0.2750668598773538,199.61310586165007,0.0,129.74851881007254,69.86458705157752,199.61310586165004,0.028535790973551235,50.80000000000003,0.3129386,,31.0,31.0,-99.0,10300000.0,12.29,21.58,12.867648881638441,0.0,0.2563159884619023,0.2292630058913608,0.24509836799723433,2.79,0.0,2014,wheat,NileDelta
2014-12-26,0.0,0.2929775393845808,212.61069621522554,0.0,138.1969525398966,74.41374367532893,212.61069621522552,0.030490748500206326,52.000000000000036,0.3129386,,31.0,31.0,-99.0,10190000.0,14.3,21.92,11.98651885781479,0.001,0.2603010945953381,0.23292248386740674,0.24685130408585637,2.05,0.0,2014,wheat,NileDelta
2014-12-27,0.0,0.31159658178424415,226.12233801469094,0.0,146.97951970954912,79.14281830514182,226.1223380146909,0.03667797068523423,53.20000000000004,0.3129386,,31.0,31.0,-99.0,11230000.0,11.81,20.93,10.7349968103804,0.0,0.2706055609898704,0.24144263100532823,0.2803447511435492,2.85,0.0,2014,wheat,NileDelta
2014-12-28,0.0,0.3327468319377727,241.47085046282484,0.0,156.95605280083615,84.5147976619887,241.47085046282484,0.045368091730293346,54.40000000000004,0.3129386,,31.0,31.0,-99.0,11230000.0,10.71,20.31,10.163972052359549,0.0,0.3146471612287173,0.2859992009260484,0.32623698962030956,4.15,0.0,2014,wheat,NileDelta
2014-12-29,0.0,0.3552929663854299,257.83234135372265,0.0,167.59102187991974,90.24131947380293,257.83234135372265,0.04580041118626086,55.600000000000044,0.3129386,,31.0,31.0,-99.0,11520000.0,9.12,21.0,9.1142447876438,0.0,0.279681174564981,0.25057397304663664,0.3099742997776982,3.12,0.0,2014,wheat,NileDelta
2014-12-30,0.0,0.3795508015764442,275.4359953384935,0.0,179.03339697002082,96.40259836847272,275.4359953384935,0.04953600139680492,56.80000000000005,0.3129386,,31.0,31.0,-99.0,11770000.0,9.88,20.05,6.951066145747037,0.0,0.27705827664381844,0.24738028666231965,0.315499771734894,2.57,0.0,2014,wheat,NileDelta
2014-12-31,5.315706134544658e-06,0.40551042844327595,294.27462151181123,0.0,191.2785039826773,102.9961175291339,294.2746215118112,0.06451612842087344,58.00000000000005,0.3129386,,31.0,31.0,-99.0,11760000.0,7.39,22.46,6.581323176915922,0.0,0.4021832766060204,0.37255615044134677,0.3867909668128527,3.16,0.0,2014,wheat,NileDelta
2015-01-01,0.0004431790951879825,0.43297961935039875,314.2087223152385,0.0,204.23566950490505,109.97305281033344,314.20872231523845,0.06718254546806256,59.20000000000005,0.3129386,,31.0,31.0,-99.0,10660000.0,11.25,17.06,7.6967970651934365,0.0,0.3896378104273897,0.3632333843728502,0.37948873608289524,5.1,0.0,2014,wheat,NileDelta
2015-01-02,0.001278890402900015,0.4607366713807663,334.3517208858971,0.0,217.32861857583316,117.02310231006396,334.35172088589707,0.051973904115196874,60.400000000000055,0.3129386,,31.0,31.0,-99.0,10440000.0,10.89,19.12,9.699811593377362,0.002,0.2821151134159497,0.25576796099316307,0.2775645031830503,3.1,0.0,2014,wheat,NileDelta
2015-01-03,0.0027784905747200114,0.48945973489969324,355.1957437588484,0.0,230.87723344325147,124.31851031559691,355.1957437588484,0.06613704991694996,61.60000000000006,0.3129386,,31.0,31.0,-99.0,11180000.0,10.15,18.52,8.723109603497123,0.12,0.33002412183531116,0.30222030228319596,0.3345538172243546,4.3,0.0,2014,wheat,NileDelta
2015-01-04,0.004626171530646212,0.5210121815960168,378.09302002613686,0.0,245.76046301698898,132.33255700914788,378.09302002613686,0.06058026986106326,62.80000000000006,0.3129386,,31.0,31.0,-99.0,6810000.0,11.43,18.45,10.025465723558831,0.013000000000000001,0.3226634284684119,0.30550133256770573,0.289859757543772,4.05,0.0,2014,wheat,NileDelta
2015-01-05,0.007131732108470609,0.543457857005843,394.3816088576509,0.0,256.34804575747313,138.03356310017782,394.3816088576509,0.07698325053804769,64.00000000000006,0.3129386,,31.0,31.0,-99.0,10330000.0,9.48,18.48,9.827584642942316,0.014000000000000002,0.3996332405731368,0.3741466264282914,0.35484673270994077,7.08,0.0,2014,wheat,NileDelta
2015-01-06,0.009900772714459603,0.5764724265007012,418.33993214854945,0.0,271.9209558965572,146.41897625199226,418.3399321485494,0.08562021484155423,65.20000000000006,0.3129386,,31.0,31.0,-99.0,8440000.0,9.73,14.77,8.05849761938839,0.264,0.5039929515947364,0.4839958307052726,0.3747131457488805,9.22,0.0,2014,wheat,NileDelta
2015-01-07,0.012872889561988461,0.6051179773430809,439.12770489338243,0.0,285.4330081806986,153.6946967126838,439.1277048933823,0.05603280275713553,66.40000000000006,0.3129386,,31.0,31.0,-99.0,4160000.0,7.97,11.65,8.236221993380125,1.333,0.2814914345730162,0.27223085651711615,0.235059982498821,7.82,0.0,2014,wheat,NileDelta
2015-01-08,0.01594103543751765,0.6200353924723871,449.9531150017324,0.0,292.4695247511261,157.48359025060628,449.9531150017323,0.07380806024115218,67.60000000000007,0.3129386,,31.0,31.0,-99.0,7060000.0,9.37,13.54,7.889736756405011,0.121,0.3830209924344512,0.3666186328222388,0.30314786110965886,6.48,0.0,2014,wheat,NileDelta
2015-01-09,0.020632373802631318,0.6453974828487186,468.358115274832,0.0,304.43277492864087,163.92534034619118,468.358115274832,0.06560993950284388,68.80000000000007,0.3129386,,31.0,31.0,-99.0,5650000.0,9.34,12.75,8.184271830630992,0.315,0.30538005659601086,0.29238906137335907,0.26029774766684655,5.84,0.0,2014,wheat,NileDelta
2015-01-10,0.02517514618306385,0.6666053271280007,483.74842316981193,0.0,314.4364750603778,169.31194810943413,483.7484231698119,0.05807181294118919,70.00000000000007,0.3129386,,31.0,31.0,-99.0,8430000.0,8.06,15.34,9.403012078985913,0.409,0.2763095376633324,0.2566040927798196,0.22407591771129654,4.33,0.0,2014,wheat,NileDelta
