crop,year,Governorates,variety,land_type,Area_ha,Yield_tonha,Prod_ton
Irrigated wheat,2013,Assuit,Egaseed21,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed21,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed22,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed22 ,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed22,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed22,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 12,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 12,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 12,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 15,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 15,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 15,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 7,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 7,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 7,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 5,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 5 ,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 5,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 5,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 2,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 2,New Land,138.18,2.2427268779852367,309.9
Irrigated wheat,2013,Assuit,Beni Suef 2,Tota,138.18,2.2427268779852367,309.9
Irrigated wheat,2013,Assuit,Shandaweel 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Shandaweel 1,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Shandaweel 1,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 164,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 164,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 164,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 1,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 1,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 61,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 61,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 61,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed 7,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed 7,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed 7,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 160,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 160,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 160,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 176,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 176,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 176,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 69,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 69,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 69,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 7,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 7,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 7,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 1,Old Land,16278.779999999999,6.876633261214907,111943.2
Irrigated wheat,2013,Assuit,Seds 1,New Land,2383.5,4.294147262429201,10235.1
Irrigated wheat,2013,Assuit,Seds 1,Tota,14946.539999999999,6.5468045705026405,122178.29999999999
Irrigated wheat,2013,Assuit,Seds 2,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 2,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 2,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 13,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 13,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 13,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 3,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 3,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 3,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 1 ,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 1,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 1,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Balady,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Balady,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Balady,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Local Broken,Old Land,NA,NA,NA
